UniCode,FounderCode,DateOfBirth,Sex,BirthGroup,MomUnicode,CurrentGroup,BirthSeason,Status,DateOfDeath,DateOfRemove,AgeOfDelivery,AgeOfDOD,AgeOfRemove,SireUniCode,DamUniCode
K-343,Q1096,1956/01/01,M,U,Q1096,dm,1956,DEAD,1970/07/28,,5.00,14.50,,,
J-991,Q1096,1959/04/15,F,U,Q1096,dm,1959,DEAD,1961/10/10,,8.25,2.50,,,
I-240,Q1096,1960/04/05,M,C,Q1096,dm,1960,DEAD,1960/05/01,,9.25,0.08,,,
K-074,Q1096,1961/02/17,F,C,Q1096,dm,1961,DEAD,1967/04/24,,10.08,6.16,,,
K-605,Q1096,1962/04/26,M,C,Q1096,rs**,1962,Removed,,1972/03/15,11.25,,9.91,,
K-111,Q1096,1963/04/12,F,C,Q1096,d,1963,DEAD,1963/04/12,,12.25,0.00,,,
H-106,Q1096,1964/02/18,F,C,Q1096,rc,1964,Removed,,1969/01/13,13.08,,4.91,,
I-232,Q1096,1965/03/31,M,C,Q1096,rs**,1965,Removed,,1972/03/13,14.16,,7.00,,
K-737,Q1096,1966/03/25,M,C,Q1096,rc,1966,Removed,,1969/03/11,15.16,,3.00,,
I-388,Q1096,1967/05/25,M,C,Q1096,r,1967,Removed,,1969/03/05,16.33,,1.83,,
I-411,Q1096,1968/06/01,M,C,Q1096,r,1968,Removed,,1969/01/13,17.41,,0.58,,
I-703,Q1095,1976/03/07,M,J,Q1095,ds,1976,DEAD,1976/03/08,,4.00,0.00,,,
G-155,Q1095,1977/02/25,M,J,Q1095,rs,1977,Removed,,1984/01/16,4.91,,6.91,,
E-055,Q1095,1978/02/28,M,J,Q1095,F,1978,Dead,1996/10/17,,5.91,18.66,,,
G-418,Q1095,1979/04/10,F,J,Q1095,d**,1979,DEAD,1983/05/09,,7.08,4.08,,,
G-561,Q1095,1980/03/16,M,J,Q1095,du,1980,DEAD,1989/05/25,,8.00,9.16,,,
G-806,Q1095,1982/01/31,F,J,Q1095,rs,1982,Removed,,1984/02/21,9.83,,2.08,,
H-094,Q1095,1983/02/07,F,J,Q1095,rs,1983,Removed,,1984/02/27,10.91,,1.00,,
F-958,Q1094,1975/03/23,M,M,Q1094,dz**,1975,DEAD,1979/11/04,,4.00,4.66,,,
D-161,Q1094,1976/04/06,F,M,Q1094,M,1976,Removed,,1984/01/24,5.08,,7.75,,
D-617,Q1094,1977/03/05,M,M,Q1094,I,1977,Removed,,1990/02/21,6.00,,12.91,,
G-260,Q1094,1978/03/21,M,M,Q1094,rs,1978,Removed,,1990/02/12,7.00,,11.91,,
E-163,Q1094,1979/02/10,F,M,Q1094,M,1979,Removed,,1984/01/24,7.91,,4.91,,
G-545,Q1094,1980/02/03,F,M,Q1094,rs,1980,Removed,,1984/01/16,8.91,,3.91,,
G-745,Q1094,1981/01/25,M,M,Q1094,rs,1981,Removed,,1984/01/16,9.83,,3.00,,
E-711,Q1094,1982/02/01,F,M,Q1094,M,1982,Removed,,1984/01/09,10.91,,1.91,C-790,
G-952,Q1094,1983/03/21,F,M,Q1094,5b7,1983,Removed,,1984/01/24,12.00,,0.83,,
K-331,Q1093,1955/01/01,F,U,Q1093,re,1955,Removed,,1966/06/25,17.00,,11.41,,
K-392,Q1093,1957/03/27,M,U,Q1093,dm,1957,DEAD,1959/05/06,,19.16,2.16,,,
K-405,Q1092,1957/01/01,M,U,Q1092,dm,1957,DEAD,1958/04/23,,4.00,1.25,,,
J-980,Q1092,1959/02/15,F,U,Q1092,d,1959,DEAD,1960/03/09,,6.08,1.08,,,
J-782,Q1092,1960/03/26,F,E,Q1092,dm,1960,DEAD,1971/05/11,,7.16,11.16,,,
I-256,Q1092,1961/03/17,M,E,Q1092,r,1961,Removed,,1962/04/24,8.16,,1.08,,
K-233,Q1092,1962/03/31,M,E,Q1092,rs**,1962,Removed,,1972/03/21,9.16,,10.00,,
K-096,Q1092,1963/03/14,F,E,Q1092,r,1963,Removed,,1963/04/03,10.16,,0.08,,
K-315,Q1092,1964/05/01,M,E,Q1092,du,1964,DEAD,1968/07/29,,11.33,4.16,,,
I-317,Q1092,1965/03/29,F,E,Q1092,r,1965,Removed,,1965/03/29,12.16,,0.00,,
K-525,Q1092,1966/04/16,M,E,Q1092,r,1966,Removed,,1972/04/10,13.25,,6.00,,
F-656,Q1092,1967/04/02,F,E,Q1092,rc,1967,Removed,,1971/05/17,14.25,,4.08,,
G-134,Q1092,1968/05/16,M,E,Q1092,rk**,1968,Removed,,1971/04/30,15.33,,2.91,,
B-369,Q1092,1970/02/20,F,E,Q1092,E,1970,Removed,,1971/05/07,17.08,,1.25,,
F-676,Q1092,1971/03/06,M,E,Q1092,rc,1971,Removed,,1971/04/27,18.16,,0.08,,
K-401,Q1091,1957/01/01,M,U,Q1091,dm,1957,DEAD,1964/10/26,,5.00,7.75,,,
G-891,Q1091,1958/03/18,F,U,Q1091,dm,1958,DEAD,1963/12/20,,6.16,5.75,,,
G-573,Q1091,1959/02/20,F,U,Q1091,d**,1959,DEAD,1960/01/26,,7.08,0.91,,,
K-400,Q1090,1957/01/01,F,U,Q1090,rc***,1957,Removed,,1971/08/03,5.00,,14.58,,
J-988,Q1090,1959/02/19,M,U,Q1090,d**,1959,DEAD,1971/10/18,,7.08,12.66,,,
H-220,Q1090,1960/05/26,M,E,Q1090,r,1960,Removed,,1961/07/31,8.33,,1.16,,
K-084,Q1090,1961/03/04,F,E,Q1090,dm,1961,DEAD,1971/03/03,,9.16,10.00,,,
K-562,Q1090,1962/04/06,F,E,Q1090,rc,1962,Removed,,1971/04/26,10.25,,9.00,,
K-837,Q1090,1963/03/04,F,E,Q1090,rc,1963,Removed,,1970/05/19,11.16,,7.16,,
I-301,Q1090,1964/02/11,U,E,Q1090,d,1964,DEAD,1964/02/11,,12.08,0.00,,,
I-316,Q1090,1965/03/29,F,E,Q1090,d,1965,DEAD,1965/03/31,,13.16,0.00,,,
I-340,Q1090,1966/02/24,U,E,Q1090,dm,1966,DEAD,1966/03/01,,14.08,0.08,,,
K-399,Q1089,1957/01/01,F,U,Q1089,dm,1957,DEAD,1971/02/23,,5.00,14.08,,,
G-885,Q1089,1958/04/06,M,U,Q1089,d**,1958,DEAD,1964/09/21,,6.25,6.41,,,
J-978,Q1089,1959/04/08,M,U,Q1089,du,1959,DEAD,1966/10/04,,7.25,7.50,,,
J-781,Q1089,1960/04/23,F,E,Q1089,r,1960,Removed,,1961/09/13,8.25,,1.41,,
K-066,Q1089,1961/04/17,F,E,Q1089,dm,1961,DEAD,1962/05/11,,9.25,1.08,,,
K-563,Q1089,1962/04/19,M,E,Q1089,d**,1962,DEAD,1984/12/04,,10.25,22.66,,,
K-850,Q1089,1963/05/05,F,E,Q1089,du,1963,DEAD,1968/07/17,,11.33,5.16,,,
H-104,Q1089,1964/05/14,M,E,Q1089,dh,1964,DEAD,1969/06/03,,12.33,5.08,,,
G-921,Q1089,1965/04/29,M,E,Q1089,rs,1965,Removed,,1970/11/30,13.25,,5.58,,
I-339,Q1089,1966/05/18,M,E,Q1089,du,1966,DEAD,1966/07/07,,14.33,0.16,,,
F-892,Q1089,1967/04/11,F,E,Q1089,rs,1967,Removed,,1971/01/12,15.25,,3.75,,
G-345,Q1089,1968/06/21,M,E,Q1089,rc,1968,Removed,,1971/05/10,16.41,,2.91,,
F-625,Q1089,1970/03/06,F,E,Q1089,rb,1970,Removed,,1971/10/28,18.16,,1.58,,
G-470,Q1088,1958/01/01,M,U,Q1088,r,1958,Removed,,1963/10/31,3.00,,5.75,,
G-883,Q1088,1959/05/22,M,U,Q1088,du**,1959,DEAD,1971/08/08,,4.33,12.25,,,
I-255,Q1088,1961/02/25,F,I,Q1088,dm,1961,DEAD,1961/05/31,,6.08,0.25,,,
F-380,Q1086,1955/01/01,M,U,Q1086,dm,1955,DEAD,1967/08/15,,3.00,12.58,,,
K-393,Q1086,1957/01/01,M,U,Q1086,rc,1957,Removed,,1968/12/02,5.00,,11.91,,
G-786,Q1086,1958/03/26,M,U,Q1086,dw**,1958,DEAD,1976/10/27,,6.16,18.58,,,
G-896,Q1086,1959/03/13,M,U,Q1086,dm,1959,DEAD,1964/09/15,,7.16,5.50,,,
K-475,Q1086,1960/03/11,M,A,Q1086,d**,1960,DEAD,1963/02/04,,8.16,2.91,,,
I-254,Q1086,1961/02/24,F,A,Q1086,d,1961,DEAD,1961/03/07,,9.08,0.08,,,
K-596,Q1086,1962/03/01,F,A,Q1086,rc**,1962,Removed,,1971/09/02,10.16,,9.50,,
K-803,Q1086,1963/03/01,F,A,Q1086,d,1963,DEAD,1964/02/17,,11.16,0.91,,,
H-107,Q1086,1964/02/20,F,A,Q1086,rb,1964,Removed,,1971/11/05,12.08,,7.75,,
I-510,Q1086,1965/05/07,M,A,Q1086,rs,1965,Removed,,1972/08/21,13.33,,7.25,,
K-321,Q1086,1966/04/22,M,A,Q1086,rs,1966,Removed,,1971/11/05,14.25,,5.58,,
