DadDoB,DadUnicode,ChdUniCode,ChdDoB,Sex
1/25/1966 0:00:00,F-116,C-746,2/28/1975 0:00:00,F
3/18/1970 0:00:00,B-489,E-733,2/25/1983 0:00:00,M
3/18/1970 0:00:00,B-489,E-852,1/22/1984 0:00:00,M
3/15/1971 0:00:00,B-838,F-094,2/8/1987 0:00:00,F
4/17/1971 0:00:00,B-837,D-719,3/4/1978 0:00:00,F
2/25/1972 0:00:00,B-939,D-701,4/6/1978 0:00:00,M
2/25/1972 0:00:00,B-939,E-611,1/20/1980 0:00:00,F
2/25/1972 0:00:00,B-939,E-610,2/18/1980 0:00:00,M
2/12/1973 0:00:00,C-287,F-231,3/13/1989 0:00:00,M
2/12/1973 0:00:00,C-287,F-223,3/18/1989 0:00:00,F
2/12/1973 0:00:00,C-287,F-262,1/5/1990 0:00:00,F
2/16/1974 0:00:00,C-409,E-652,2/16/1981 0:00:00,F
2/16/1974 0:00:00,C-409,E-651,3/17/1981 0:00:00,F
2/16/1974 0:00:00,C-409,E-694,3/1/1982 0:00:00,M
2/16/1974 0:00:00,C-409,A-571,2/19/1992 0:00:00,M
2/27/1974 0:00:00,C-705,E-669,2/1/1981 0:00:00,F
2/27/1974 0:00:00,C-705,E-710,2/19/1982 0:00:00,M
3/2/1974 0:00:00,C-703,E-770,1/28/1984 0:00:00,M
3/2/1974 0:00:00,C-703,E-772,2/5/1984 0:00:00,M
3/2/1974 0:00:00,C-703,F-139,1/8/1988 0:00:00,M
2/25/1975 0:00:00,C-790,E-711,2/1/1982 0:00:00,F
2/26/1975 0:00:00,C-789,E-013,11/28/1993 0:00:00,M
3/24/1975 0:00:00,C-745,E-688,2/12/1982 0:00:00,M
3/24/1975 0:00:00,C-745,E-730,1/21/1983 0:00:00,M
3/30/1975 0:00:00,C-726,E-768,1/8/1984 0:00:00,M
3/30/1975 0:00:00,C-726,F-002,2/17/1985 0:00:00,F
3/30/1975 0:00:00,C-726,F-001,3/6/1985 0:00:00,M
3/30/1975 0:00:00,C-726,F-034,2/3/1986 0:00:00,M
