ID,UniCode,FounderCode,DateOfBirth,Sex,BirthGroup,MomUnicode,CurrentGroup,BirthSeason,Status,DateOfDeath,DateOfRemove,AgeOfDelivery,AgeOfDOD,AgeOfRemove,SireUniCode,DamUniCode
1,K-343,Q1096,1/1/1956 0:00:00,M,U,Q1096,dm,1956,DEAD,7/28/1970 0:00:00,,5.00,14.50,,,
2,J-991,Q1096,4/15/1959 0:00:00,F,U,Q1096,dm,1959,DEAD,10/10/1961 0:00:00,,8.25,2.50,,,
3,I-240,Q1096,4/5/1960 0:00:00,M,C,Q1096,dm,1960,DEAD,5/1/1960 0:00:00,,9.25,0.08,,,
4,K-074,Q1096,2/17/1961 0:00:00,F,C,Q1096,dm,1961,DEAD,4/24/1967 0:00:00,,10.08,6.16,,,
5,K-605,Q1096,4/26/1962 0:00:00,M,C,Q1096,rs**,1962,Removed,,3/15/1972 0:00:00,11.25,,9.91,,
6,K-111,Q1096,4/12/1963 0:00:00,F,C,Q1096,d,1963,DEAD,4/12/1963 0:00:00,,12.25,0.00,,,
7,H-106,Q1096,2/18/1964 0:00:00,F,C,Q1096,rc,1964,Removed,,1/13/1969 0:00:00,13.08,,4.91,,
8,I-232,Q1096,3/31/1965 0:00:00,M,C,Q1096,rs**,1965,Removed,,3/13/1972 0:00:00,14.16,,7.00,,
9,K-737,Q1096,3/25/1966 0:00:00,M,C,Q1096,rc,1966,Removed,,3/11/1969 0:00:00,15.16,,3.00,,
10,I-388,Q1096,5/25/1967 0:00:00,M,C,Q1096,r,1967,Removed,,3/5/1969 0:00:00,16.33,,1.83,,
11,I-411,Q1096,6/1/1968 0:00:00,M,C,Q1096,r,1968,Removed,,1/13/1969 0:00:00,17.41,,0.58,,
12,I-703,Q1095,3/7/1976 0:00:00,M,J,Q1095,ds,1976,DEAD,3/8/1976 0:00:00,,4.00,0.00,,,
13,G-155,Q1095,2/25/1977 0:00:00,M,J,Q1095,rs,1977,Removed,,1/16/1984 0:00:00,4.91,,6.91,,
14,E-055,Q1095,2/28/1978 0:00:00,M,J,Q1095,F,1978,Dead,10/17/1996 0:00:00,,5.91,18.66,,,
15,G-418,Q1095,4/10/1979 0:00:00,F,J,Q1095,d**,1979,DEAD,5/9/1983 0:00:00,,7.08,4.08,,,
16,G-561,Q1095,3/16/1980 0:00:00,M,J,Q1095,du,1980,DEAD,5/25/1989 0:00:00,,8.00,9.16,,,
17,G-806,Q1095,1/31/1982 0:00:00,F,J,Q1095,rs,1982,Removed,,2/21/1984 0:00:00,9.83,,2.08,,
18,H-094,Q1095,2/7/1983 0:00:00,F,J,Q1095,rs,1983,Removed,,2/27/1984 0:00:00,10.91,,1.00,,
19,F-958,Q1094,3/23/1975 0:00:00,M,M,Q1094,dz**,1975,DEAD,11/4/1979 0:00:00,,4.00,4.66,,,
20,D-161,Q1094,4/6/1976 0:00:00,F,M,Q1094,M,1976,Removed,,1/24/1984 0:00:00,5.08,,7.75,,
21,D-617,Q1094,3/5/1977 0:00:00,M,M,Q1094,I,1977,Removed,,2/21/1990 0:00:00,6.00,,12.91,,
22,G-260,Q1094,3/21/1978 0:00:00,M,M,Q1094,rs,1978,Removed,,2/12/1990 0:00:00,7.00,,11.91,,
23,E-163,Q1094,2/10/1979 0:00:00,F,M,Q1094,M,1979,Removed,,1/24/1984 0:00:00,7.91,,4.91,,
24,G-545,Q1094,2/3/1980 0:00:00,F,M,Q1094,rs,1980,Removed,,1/16/1984 0:00:00,8.91,,3.91,,
25,G-745,Q1094,1/25/1981 0:00:00,M,M,Q1094,rs,1981,Removed,,1/16/1984 0:00:00,9.83,,3.00,,
26,E-711,Q1094,2/1/1982 0:00:00,F,M,Q1094,M,1982,Removed,,1/9/1984 0:00:00,10.91,,1.91,C-790,
27,G-952,Q1094,3/21/1983 0:00:00,F,M,Q1094,5b7,1983,Removed,,1/24/1984 0:00:00,12.00,,0.83,,
28,K-331,Q1093,1/1/1955 0:00:00,F,U,Q1093,re,1955,Removed,,6/25/1966 0:00:00,17.00,,11.41,,
29,K-392,Q1093,3/27/1957 0:00:00,M,U,Q1093,dm,1957,DEAD,5/6/1959 0:00:00,,19.16,2.16,,,
30,K-405,Q1092,1/1/1957 0:00:00,M,U,Q1092,dm,1957,DEAD,4/23/1958 0:00:00,,4.00,1.25,,,
31,J-980,Q1092,2/15/1959 0:00:00,F,U,Q1092,d,1959,DEAD,3/9/1960 0:00:00,,6.08,1.08,,,
32,J-782,Q1092,3/26/1960 0:00:00,F,E,Q1092,dm,1960,DEAD,5/11/1971 0:00:00,,7.16,11.16,,,
33,I-256,Q1092,3/17/1961 0:00:00,M,E,Q1092,r,1961,Removed,,4/24/1962 0:00:00,8.16,,1.08,,
34,K-233,Q1092,3/31/1962 0:00:00,M,E,Q1092,rs**,1962,Removed,,3/21/1972 0:00:00,9.16,,10.00,,
35,K-096,Q1092,3/14/1963 0:00:00,F,E,Q1092,r,1963,Removed,,4/3/1963 0:00:00,10.16,,0.08,,
36,K-315,Q1092,5/1/1964 0:00:00,M,E,Q1092,du,1964,DEAD,7/29/1968 0:00:00,,11.33,4.16,,,
37,I-317,Q1092,3/29/1965 0:00:00,F,E,Q1092,r,1965,Removed,,3/29/1965 0:00:00,12.16,,0.00,,
38,K-525,Q1092,4/16/1966 0:00:00,M,E,Q1092,r,1966,Removed,,4/10/1972 0:00:00,13.25,,6.00,,
39,F-656,Q1092,4/2/1967 0:00:00,F,E,Q1092,rc,1967,Removed,,5/17/1971 0:00:00,14.25,,4.08,,
40,G-134,Q1092,5/16/1968 0:00:00,M,E,Q1092,rk**,1968,Removed,,4/30/1971 0:00:00,15.33,,2.91,,
41,B-369,Q1092,2/20/1970 0:00:00,F,E,Q1092,E,1970,Removed,,5/7/1971 0:00:00,17.08,,1.25,,
42,F-676,Q1092,3/6/1971 0:00:00,M,E,Q1092,rc,1971,Removed,,4/27/1971 0:00:00,18.16,,0.08,,
43,K-401,Q1091,1/1/1957 0:00:00,M,U,Q1091,dm,1957,DEAD,10/26/1964 0:00:00,,5.00,7.75,,,
44,G-891,Q1091,3/18/1958 0:00:00,F,U,Q1091,dm,1958,DEAD,12/20/1963 0:00:00,,6.16,5.75,,,
45,G-573,Q1091,2/20/1959 0:00:00,F,U,Q1091,d**,1959,DEAD,1/26/1960 0:00:00,,7.08,0.91,,,
46,K-400,Q1090,1/1/1957 0:00:00,F,U,Q1090,rc***,1957,Removed,,8/3/1971 0:00:00,5.00,,14.58,,
47,J-988,Q1090,2/19/1959 0:00:00,M,U,Q1090,d**,1959,DEAD,10/18/1971 0:00:00,,7.08,12.66,,,
48,H-220,Q1090,5/26/1960 0:00:00,M,E,Q1090,r,1960,Removed,,7/31/1961 0:00:00,8.33,,1.16,,
49,K-084,Q1090,3/4/1961 0:00:00,F,E,Q1090,dm,1961,DEAD,3/3/1971 0:00:00,,9.16,10.00,,,
50,K-562,Q1090,4/6/1962 0:00:00,F,E,Q1090,rc,1962,Removed,,4/26/1971 0:00:00,10.25,,9.00,,
51,K-837,Q1090,3/4/1963 0:00:00,F,E,Q1090,rc,1963,Removed,,5/19/1970 0:00:00,11.16,,7.16,,
52,I-301,Q1090,2/11/1964 0:00:00,U,E,Q1090,d,1964,DEAD,2/11/1964 0:00:00,,12.08,0.00,,,
53,I-316,Q1090,3/29/1965 0:00:00,F,E,Q1090,d,1965,DEAD,3/31/1965 0:00:00,,13.16,0.00,,,
54,I-340,Q1090,2/24/1966 0:00:00,U,E,Q1090,dm,1966,DEAD,3/1/1966 0:00:00,,14.08,0.08,,,
55,K-399,Q1089,1/1/1957 0:00:00,F,U,Q1089,dm,1957,DEAD,2/23/1971 0:00:00,,5.00,14.08,,,
56,G-885,Q1089,4/6/1958 0:00:00,M,U,Q1089,d**,1958,DEAD,9/21/1964 0:00:00,,6.25,6.41,,,
57,J-978,Q1089,4/8/1959 0:00:00,M,U,Q1089,du,1959,DEAD,10/4/1966 0:00:00,,7.25,7.50,,,
58,J-781,Q1089,4/23/1960 0:00:00,F,E,Q1089,r,1960,Removed,,9/13/1961 0:00:00,8.25,,1.41,,
59,K-066,Q1089,4/17/1961 0:00:00,F,E,Q1089,dm,1961,DEAD,5/11/1962 0:00:00,,9.25,1.08,,,
60,K-563,Q1089,4/19/1962 0:00:00,M,E,Q1089,d**,1962,DEAD,12/4/1984 0:00:00,,10.25,22.66,,,
61,K-850,Q1089,5/5/1963 0:00:00,F,E,Q1089,du,1963,DEAD,7/17/1968 0:00:00,,11.33,5.16,,,
62,H-104,Q1089,5/14/1964 0:00:00,M,E,Q1089,dh,1964,DEAD,6/3/1969 0:00:00,,12.33,5.08,,,
